sides,radius_m,rotation_deg,scan_origin,route_length_m,measure_count,switch_count,estimated_base_time_s,analytic_max_distance_m,numerical_max_distance_m,coverage_ratio,worst_x,worst_y,achieved_margin_m,valid
9,900.0,7.5,False,5825.090063889629,180,171,2236.018012777926,1002.694324634211,998.4219907608307,1.0,-1520.0,960.0,-2.6943246342109433,False
9,900.0,7.5,True,5825.090063889629,200,190,2355.018012777926,,998.4219907608307,1.0,-1520.0,960.0,-12.564126384561632,False
9,900.0,15.0,False,5825.090063889629,180,171,2236.018012777926,1002.694324634211,1000.641374605165,0.9999213990960896,-1740.0,-460.0,-2.6943246342109433,False
9,900.0,15.0,True,5825.090063889629,200,190,2355.018012777926,,1000.641374605165,0.9999213990960896,-1740.0,-460.0,-14.78351022889592,False
9,900.0,22.5,False,5825.090063889629,180,171,2236.018012777926,1002.694324634211,998.4219907608308,1.0,-960.0,1520.0,-2.6943246342109433,False
9,900.0,22.5,True,5825.090063889629,200,190,2355.018012777926,,998.4219907608308,1.0,-960.0,1520.0,-12.564126384561746,False
9,950.0,0.0,False,6148.706178550165,180,171,2300.741235710033,963.7174051101252,963.7174051101254,1.0,-1800.0,0.0,36.28259488987476,True
9,950.0,0.0,True,6148.706178550165,200,190,2419.741235710033,,963.7174051101254,1.0,-1800.0,0.0,22.140459266143694,True
9,950.0,7.5,False,6148.706178550165,180,171,2300.741235710033,963.7174051101252,959.2555840934847,1.0,-1520.0,960.0,36.28259488987476,True
9,950.0,7.5,True,6148.706178550165,200,190,2419.741235710033,,959.2555840934847,1.0,-1520.0,960.0,26.602280282784363,True
9,950.0,15.0,False,6148.706178550165,180,171,2300.741235710033,963.7174051101252,961.4855418934507,1.0,-1740.0,-460.0,36.28259488987476,True
9,950.0,15.0,True,6148.706178550165,200,190,2419.741235710033,,961.4855418934507,1.0,-1740.0,-460.0,24.37232248281839,True
9,950.0,22.5,False,6148.706178550164,180,171,2300.741235710033,963.7174051101252,959.2555840934849,1.0,-960.0,1520.0,36.28259488987476,True
