source_x_m,source_y_m,source_posterior_weight,conditional_detection_probability,bearing_error_deg,second_bearing_deg,polygon_diameter_m,integration_weight
280.000000,220.000000,0.003407601769,1.000000000000,0.000000,0.590657215,155.711069462,0.001135867256
280.000000,220.000000,0.003407601769,1.000000000000,1.000000,1.590657215,165.191541761,0.001135867256
300.000000,220.000000,0.002912123854,1.000000000000,-1.000000,359.578725566,146.983630597,0.000970707951
300.000000,220.000000,0.002912123854,1.000000000000,0.000000,0.578725566,155.603307586,0.000970707951
300.000000,220.000000,0.002912123854,1.000000000000,1.000000,1.578725566,165.072962652,0.000970707951
320.000000,220.000000,0.002414454816,1.000000000000,-1.000000,359.567266410,146.889376105,0.000804818272
320.000000,220.000000,0.002414454816,1.000000000000,0.000000,0.567266410,155.499926800,0.000804818272
320.000000,220.000000,0.002414454816,1.000000000000,1.000000,1.567266410,164.959208809,0.000804818272
280.000000,240.000000,0.003102931404,1.000000000000,-1.000000,0.771469740,157.359011508,0.001034310468
280.000000,240.000000,0.003102931404,1.000000000000,0.000000,1.771469740,167.005487843,0.001034310468
280.000000,240.000000,0.003102931404,1.000000000000,1.000000,2.771469740,177.645407719,0.001034310468
300.000000,240.000000,0.002611151223,1.000000000000,-1.000000,0.735704589,157.030809396,0.000870383741
300.000000,240.000000,0.002611151223,1.000000000000,0.000000,1.735704589,166.644137528,0.000870383741
300.000000,240.000000,0.002611151223,1.000000000000,1.000000,2.735704589,177.246180973,0.000870383741
320.000000,240.000000,0.002117107326,1.000000000000,-1.000000,0.701354605,156.716636360,0.000705702442
320.000000,240.000000,0.002117107326,1.000000000000,0.000000,1.701354605,166.298273738,0.000705702442
320.000000,240.000000,0.002117107326,1.000000000000,1.000000,2.701354605,176.864112003,0.000705702442
340.000000,240.000000,0.001620879955,1.000000000000,-1.000000,0.668337448,156.415612348,0.000540293318
340.000000,240.000000,0.001620879955,1.000000000000,0.000000,1.668337448,165.966922533,0.000540293318
340.000000,240.000000,0.001620879955,1.000000000000,1.000000,2.668337448,176.498118845,0.000540293318
360.000000,240.000000,0.001122545933,1.000000000000,-1.000000,0.636577042,156.126929364,0.000374181978
360.000000,240.000000,0.001122545933,1.000000000000,0.000000,1.636577042,165.649189910,0.000374181978
360.000000,240.000000,0.001122545933,1.000000000000,1.000000,2.636577042,176.147208567,0.000374181978
300.000000,260.000000,0.002304226468,1.000000000000,-1.000000,1.891269596,168.225150652,0.000768075489
300.000000,260.000000,0.002304226468,1.000000000000,0.000000,2.891269596,178.993292118,0.000768075489
300.000000,260.000000,0.002304226468,1.000000000000,1.000000,3.891269596,190.918511217,0.000768075489
